Depth c top [mcd],Age [ka BP],Foram bent d13C [per mil PDB],Foram bent d18O [per mil PDB]
408.64,18796,0.448,1.259
408.74,18802,0.652,1.353
408.84,18808,0.497,1.532
408.94,18814,0.461,1.586
409.04,18819,0.47,1.377
409.14,18825,0.52,1.488
409.24,18831,0.486,1.226
409.34,18837,0.58,1.435
409.44,18842,0.542,1.588
409.54,18847,0.643,2.005
409.64,18853,0.442,1.622
409.74,18858,0.75,1.643
409.84,18863,0.658,1.403
409.94,18868,0.49,1.424
410.04,18874,0.429,1.696
410.14,18879,0.634,1.764
410.22,18883,0.742,1.854
410.32,18888,0.701,1.814
410.42,18894,0.709,1.798
410.52,18899,0.726,1.785
410.62,18904,0.664,1.752
410.72,18909,0.88,1.62
410.82,18915,0.713,1.637
410.92,18920,0.832,1.656
411.02,18925,0.641,1.635
411.12,18930,0.838,1.787
411.22,18936,0.602,1.702
411.32,18941,0.762,1.867
411.42,18946,0.577,1.768
411.52,18951,0.741,1.779
411.62,18957,0.71,1.726
411.72,18962,0.77,1.616
411.82,18967,0.812,1.667
411.92,18972,0.781,1.52
412.02,18978,0.712,1.492
412.12,18983,0.624,1.388
412.22,18988,0.67,1.566
412.32,18993,0.78,1.76
412.42,18999,0.788,1.838
412.52,19004,0.88,1.93
412.62,19009,0.676,1.757
412.72,19014,0.817,1.931
412.82,19020,0.793,1.766
412.92,19025,0.82,1.671
413.02,19030,0.747,1.619
413.12,19035,0.714,1.43
413.22,19039,0.676,1.59
413.32,19043,0.67,1.67
413.42,19046,0.581,1.731
413.52,19050,0.479,1.879
413.62,19054,0.663,1.879
413.72,19057,0.602,2.131
413.82,19061,0.799,2.101
413.92,19065,0.787,2.096
414.02,19068,0.763,1.762
414.12,19072,0.6,1.802
414.22,19076,0.674,1.67
414.32,19079,0.693,1.792
414.38,19082,0.579,1.793
414.46,19085,0.727,1.81
414.56,19088,0.781,1.677
414.66,19092,0.901,1.759
414.76,19096,0.865,1.681
414.86,19099,0.837,1.668
414.96,19103,0.626,1.604
415.06,19107,0.545,1.608
415.16,19110,0.48,1.584
415.26,19114,0.466,1.54
415.36,19118,0.62,2.075
415.46,19121,0.6,1.832
415.56,19125,0.757,1.673
415.66,19129,0.759,1.714
415.76,19132,0.735,1.636
415.86,19136,0.726,1.631
415.96,19140,0.865,1.537
416.06,19143,0.856,1.432
416.16,19147,0.81,1.655
416.26,19151,0.713,1.566
416.36,19154,0.647,1.572
416.46,19158,0.424,1.386
416.56,19162,0.436,1.747
416.66,19166,0.422,1.753
416.76,19170,0.503,2.066
416.86,19174,0.605,1.517
416.96,19178,0.64,1.843
417.06,19182,0.833,1.476
417.16,19186,0.616,1.764
417.26,19190,0.732,1.545
417.36,19193,0.702,1.608
417.46,19197,0.673,1.528
417.56,19201,0.723,1.491
417.66,19205,0.778,1.647
417.76,19209,0.619,1.737
417.86,19213,0.543,1.754
417.96,19217,0.59,1.971
418.06,19221,0.49,1.905
418.16,19225,0.545,1.935
418.26,19229,0.485,1.818
418.36,19233,0.522,1.085
418.46,19237,0.61,1.668
418.56,19241,0.554,1.289
418.66,19245,0.673,1.453
418.76,19249,0.593,1.683
418.86,19253,0.723,1.667
418.96,19257,0.651,1.694
419.06,19261,0.676,1.644
419.16,19265,0.481,1.64
419.26,19269,0.737,1.639
419.36,19273,0.775,1.807
419.46,19277,0.734,1.513
419.56,19281,0.845,1.472
419.66,19285,0.828,1.61
419.76,19289,0.815,1.636
419.86,19293,0.585,1.495
419.96,19297,0.703,1.552
420.06,19301,0.688,1.61
420.16,19305,0.86,1.743
420.26,19309,0.916,1.863
420.36,19313,1.146,1.729
420.46,19318,0.916,1.434
420.56,19322,1.058,1.536
420.66,19326,1.037,1.679
420.76,19330,0.928,1.476
420.86,19334,0.929,1.802
420.96,19338,1.041,1.785
421.06,19342,0.882,1.828
421.16,19346,0.909,1.875
421.26,19350,0.868,1.8
421.36,19354,0.896,2.079
421.46,19358,0.753,1.883
421.56,19362,0.81,1.993
421.66,19366,0.769,2.019
421.76,19370,0.721,2.009
421.96,19378,0.875,1.645
422.02,19380,0.958,2.304
422.12,19385,0.792,1.976
422.22,19389,0.728,1.812
422.32,19393,0.921,1.833
422.42,19397,0.884,2.002
422.52,19401,0.723,2.074
422.62,19405,0.76,2.009
422.72,19409,0.922,2.079
422.82,19413,0.979,2.623
422.92,19417,0.769,1.958
423.02,19421,1.023,2.078
423.12,19425,0.951,1.907
423.22,19429,0.895,1.83
423.32,19433,1.002,1.946
423.43,19437,1.046,2.179
423.52,19441,0.665,1.92
423.62,19445,0.694,2.048
423.72,19449,0.699,2.178
423.82,19453,0.951,2.232
423.92,19457,1.016,1.956
424.02,19461,0.832,1.952
424.12,19465,1.031,1.791
424.22,19469,1.087,2.147
424.32,19473,0.958,2.095
424.42,19477,0.764,2.027
424.52,19481,0.691,2.089
424.62,19485,0.943,2.069
424.72,19489,0.924,2.031
424.82,19493,0.959,1.982
424.92,19497,0.945,1.93
425.02,19502,0.829,1.917
425.12,19506,0.776,1.898
425.22,19510,0.793,2.033
425.32,19514,0.702,1.949
425.42,19518,0.789,2.113
