AgeD17MT,benthic d13C
7.88586,1
7.88723,1.09
7.88782,1.22
7.8892,0.89
7.88979,1.07
7.89116,0.89
7.89175,1.1
7.89313,0.87
7.89372,1.04
7.8947,1.1
7.89569,1.1
7.89706,1
7.89765,1
7.89765,1.09
7.89903,0.99
7.89962,1.16
7.90099,0.94
7.90158,1
7.90296,1.03
7.90355,1.1
7.90492,0.94
7.90551,1.18
7.90689,1.09
7.90885,1.06
7.91082,1.12
7.91279,1.11
7.91475,1.21
7.91672,1.19
7.91868,1.09
7.92065,1.26
7.92261,1.18
7.92458,1.13
7.92655,1.01
7.92851,0.99
7.93048,1.04
7.93284,0.95
7.93441,1.05
7.93637,1.05
7.93834,1.14
7.94031,1.28
7.94227,1.17
7.94424,1.26
7.9462,1.09
7.94817,1.1
7.95013,0.94
7.9521,1.24
7.95406,1.05
7.95603,1.13
7.958,1.04
7.95996,0.83
7.96193,1.01
7.96389,1.13
7.96586,0.76
7.96782,0.99
7.96979,1.13
7.97176,1.05
7.97372,1.07
7.97569,1.07
7.97765,1.18
7.97962,1.24
7.98158,0.98
7.98355,1.33
7.98552,1.19
7.98748,1.21
7.98945,1.29
7.99141,1.15
7.99338,1.18
7.99534,1.11
7.99731,1.1
7.99927,0.96
8.00124,0.99
8.00321,1.12
8.00517,1.12
8.00714,1.24
8.0091,1.15
